02,08-12-202212:33:05,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,08-12-202212:33:05,70.000,99.000,1965.000,9701.998,317.336,15.885,21439.000,97.400,11.431,83.800,0.600
80,08-12-202212:33:06,70.000,99.000,1950.000,9701.998,317.118,17.096,21234.000,111.000,9.898,83.800,0.600
80,08-12-202212:33:07,70.000,99.000,1965.000,9701.998,326.599,20.795,21222.000,102.500,11.686,83.800,0.600
80,08-12-202212:33:08,70.000,99.000,1965.000,9701.998,314.927,12.814,21219.000,92.500,11.552,83.800,0.600
80,08-12-202212:33:09,70.000,99.000,1965.000,9701.998,314.077,12.518,21220.000,92.900,12.006,83.800,0.600
80,08-12-202212:33:10,70.000,99.000,1965.000,9701.998,315.945,11.752,21218.000,92.700,12.005,83.800,0.600
80,08-12-202212:33:11,70.000,99.000,1965.000,9701.998,316.623,11.717,21218.000,92.100,12.085,83.800,0.600
80,08-12-202212:33:12,70.000,99.000,1965.000,9701.998,316.389,12.828,21219.000,93.000,11.534,83.800,0.600
80,08-12-202212:33:13,70.000,99.000,1950.000,9701.998,321.738,11.741,21222.000,96.700,11.802,83.800,0.600
80,08-12-202212:33:14,70.000,99.000,1980.000,9701.998,315.330,13.397,21235.000,101.500,12.301,83.800,0.600
80,08-12-202212:33:15,70.000,99.000,1965.000,9701.998,319.276,11.136,21238.000,91.200,11.897,83.800,0.600
80,08-12-202212:33:16,70.000,99.000,1965.000,9701.998,316.938,11.808,21239.000,90.800,11.982,83.800,0.600
80,08-12-202212:33:17,70.000,99.000,1965.000,9701.998,316.717,12.422,21217.000,90.900,12.296,83.800,0.600
80,08-12-202212:33:18,70.000,99.000,1965.000,9701.998,318.188,11.717,21196.000,91.300,11.895,83.800,0.600
80,08-12-202212:33:19,70.000,99.000,1965.000,9701.998,317.847,11.923,21174.000,90.700,12.660,83.800,0.600
80,08-12-202212:33:20,71.000,99.000,1965.000,9701.998,320.392,11.510,21154.000,91.400,11.875,83.800,0.600
80,08-12-202212:33:21,71.000,99.000,1965.000,9701.998,317.736,11.804,21146.000,91.600,11.758,83.800,0.600
80,08-12-202212:33:22,70.000,99.000,1965.000,9701.998,315.708,11.633,21146.000,91.800,12.084,83.800,0.600
80,08-12-202212:33:23,70.000,99.000,1965.000,9701.998,317.245,11.825,21146.000,92.000,12.436,83.800,0.600
80,08-12-202212:33:24,70.000,99.000,1965.000,9701.998,316.610,11.294,21146.000,91.900,11.767,83.800,0.600
80,08-12-202212:33:25,71.000,99.000,1965.000,9701.998,318.261,11.961,21151.000,91.600,11.749,83.800,0.600
80,08-12-202212:33:26,70.000,99.000,1965.000,9701.998,319.251,12.469,21149.000,91.200,12.314,83.800,0.600
80,08-12-202212:33:27,70.000,99.000,1965.000,9701.998,320.569,12.017,21149.000,90.900,12.695,83.800,0.600
80,08-12-202212:33:28,71.000,99.000,1965.000,9701.998,319.752,11.692,21149.000,91.100,11.732,83.800,0.600
80,08-12-202212:33:29,71.000,99.000,1965.000,9701.998,318.014,12.495,21149.000,91.400,12.003,83.800,0.600
80,08-12-202212:33:30,71.000,99.000,1965.000,9701.998,317.565,11.955,21150.000,91.100,12.788,83.800,0.600
