02,09-12-202202:25:06,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUtemperature,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,09-12-202202:25:07,66.000,56.000,1980.000,9701.998,261.016,73.000,12.708,14940.000,71.400,16.454,51.700,0.200
80,09-12-202202:25:08,67.000,56.000,1980.000,9701.998,268.028,73.000,14.221,14936.000,65.100,20.507,51.700,0.200
80,09-12-202202:25:09,66.000,57.000,1980.000,9701.998,261.283,70.000,12.831,14945.000,64.800,18.869,51.700,0.200
80,09-12-202202:25:10,66.000,57.000,1980.000,9701.998,254.219,73.000,13.424,14939.000,65.500,16.536,51.700,0.200
80,09-12-202202:25:11,66.000,58.000,1980.000,9701.998,266.233,73.000,13.182,14939.000,66.000,16.169,51.700,0.200
80,09-12-202202:25:12,67.000,58.000,1980.000,9701.998,266.945,73.000,12.730,14940.000,67.000,15.954,51.700,0.200
80,09-12-202202:25:13,66.000,58.000,1980.000,9701.998,259.242,69.000,13.238,14945.000,66.200,19.694,51.700,0.200
80,09-12-202202:25:14,67.000,56.000,1980.000,9701.998,269.427,74.000,12.192,14938.000,66.300,16.908,51.700,0.200
80,09-12-202202:25:15,66.000,57.000,1980.000,9701.998,268.407,72.000,13.140,14940.000,66.100,18.150,51.700,0.200
80,09-12-202202:25:16,66.000,54.000,1980.000,9701.998,255.401,76.000,15.480,14950.000,65.400,17.945,51.700,0.200
80,09-12-202202:25:17,66.000,56.000,1980.000,9701.998,259.510,73.000,13.225,14956.000,64.400,18.777,51.700,0.200
80,09-12-202202:25:18,66.000,57.000,1980.000,9701.998,262.835,73.000,13.093,14956.000,64.800,17.475,51.700,0.200
80,09-12-202202:25:19,66.000,57.000,1980.000,9701.998,263.039,72.000,13.543,14956.000,65.200,17.518,51.700,0.200
80,09-12-202202:25:20,66.000,57.000,1980.000,9701.998,256.670,77.000,13.888,14951.000,65.300,18.273,51.700,0.200
80,09-12-202202:25:21,66.000,59.000,1980.000,9701.998,258.094,76.000,14.229,14947.000,65.400,17.361,51.700,0.200
80,09-12-202202:25:22,66.000,57.000,1980.000,9701.998,260.601,72.000,13.777,14948.000,66.700,16.498,51.700,0.200
80,09-12-202202:25:23,66.000,56.000,1980.000,9701.998,266.472,76.000,15.923,14952.000,65.600,17.002,51.700,0.200
80,09-12-202202:25:24,66.000,57.000,1980.000,9701.998,249.743,74.000,13.867,14954.000,66.500,16.067,51.800,0.200
80,09-12-202202:25:25,66.000,50.000,1980.000,9701.998,244.081,74.000,13.491,14892.000,64.700,16.793,51.800,0.200
80,09-12-202202:25:26,66.000,53.000,1980.000,9701.998,257.899,75.000,13.241,14887.000,63.600,17.031,51.800,0.200
80,09-12-202202:25:27,66.000,53.000,1980.000,9701.998,248.568,76.000,12.718,14890.000,65.800,19.854,51.800,0.200
80,09-12-202202:25:28,66.000,54.000,1980.000,9701.998,243.900,78.000,13.307,14893.000,65.700,18.118,51.800,0.200
80,09-12-202202:25:29,66.000,54.000,1980.000,9701.998,258.767,74.000,13.926,14889.000,65.700,17.751,51.800,0.200
80,09-12-202202:25:30,66.000,54.000,1980.000,9701.998,259.688,76.000,13.057,14886.000,66.600,16.252,51.800,0.200
80,09-12-202202:25:31,66.000,56.000,1980.000,9701.998,254.372,82.000,14.040,14894.000,67.000,16.391,51.800,0.200
80,09-12-202202:25:32,66.000,52.000,1980.000,9701.998,252.204,73.000,17.551,14871.000,66.300,16.313,51.800,0.200
80,09-12-202202:25:33,66.000,52.000,1980.000,9701.998,249.570,73.000,13.723,14873.000,67.000,18.017,51.800,0.200
80,09-12-202202:25:34,66.000,54.000,1980.000,9701.998,253.352,71.000,12.601,14873.000,68.400,16.028,51.800,0.200
80,09-12-202202:25:35,66.000,53.000,1980.000,9701.998,250.328,73.000,13.697,14872.000,68.900,15.824,51.800,0.200
80,09-12-202202:25:36,65.000,52.000,1980.000,9701.998,245.210,71.000,13.940,14872.000,69.100,16.002,51.800,0.200
80,09-12-202202:25:37,66.000,53.000,1980.000,9701.998,249.884,70.000,12.401,14872.000,68.100,18.494,51.800,0.200
80,09-12-202202:25:38,66.000,52.000,1980.000,9701.998,254.384,74.000,12.886,14870.000,68.300,17.011,51.800,0.200
80,09-12-202202:25:39,65.000,51.000,1980.000,9701.998,251.041,73.000,13.106,14871.000,67.100,16.522,51.800,0.200
80,09-12-202202:25:40,66.000,53.000,1980.000,9701.998,252.132,72.000,13.456,14872.000,68.100,17.023,51.800,0.200
80,09-12-202202:25:41,66.000,52.000,1980.000,9701.998,248.220,73.000,13.424,14875.000,68.000,16.973,51.800,0.200
80,09-12-202202:25:42,66.000,51.000,1980.000,9701.998,252.352,74.000,13.251,14873.000,67.500,17.221,51.800,0.200
80,09-12-202202:25:43,66.000,52.000,1980.000,9701.998,250.405,71.000,13.331,14879.000,67.200,18.923,51.800,0.200
80,09-12-202202:25:44,66.000,54.000,1980.000,9701.998,255.206,81.000,12.460,14872.000,68.500,19.688,51.800,0.200
80,09-12-202202:25:45,65.000,51.000,1980.000,9701.998,252.553,73.000,13.198,14877.000,68.500,17.523,51.800,0.200
80,09-12-202202:25:46,65.000,54.000,1980.000,9701.998,251.179,74.000,12.800,14869.000,68.600,16.263,51.800,0.200
80,09-12-202202:25:47,66.000,54.000,1980.000,9701.998,247.719,70.000,12.572,14871.000,67.800,16.860,51.800,0.200
80,09-12-202202:25:48,66.000,55.000,1980.000,9701.998,254.569,73.000,13.049,14871.000,69.000,15.502,51.800,0.200
80,09-12-202202:25:49,66.000,52.000,1980.000,9701.998,253.809,75.000,13.568,14877.000,67.400,29.249,51.800,0.200
80,09-12-202202:25:50,66.000,54.000,1980.000,9701.998,253.878,69.000,13.174,14879.000,68.700,17.442,51.800,0.200
80,09-12-202202:25:51,65.000,52.000,1980.000,9701.998,253.587,72.000,16.349,14755.000,69.400,16.010,51.800,0.200
80,09-12-202202:25:52,66.000,55.000,1980.000,9701.998,248.655,73.000,15.043,14619.000,69.600,18.906,51.900,0.200
80,09-12-202202:25:53,66.000,54.000,1980.000,9701.998,256.498,75.000,13.456,14619.000,69.600,16.891,51.900,0.200
80,09-12-202202:25:54,65.000,49.000,1980.000,9701.998,239.193,76.000,13.311,14663.000,67.100,22.368,51.900,0.200
80,09-12-202202:25:55,66.000,56.000,1980.000,9701.998,258.170,73.000,13.785,14650.000,71.700,15.491,51.900,0.200
80,09-12-202202:25:56,66.000,59.000,1980.000,9701.998,251.231,75.000,13.537,14659.000,69.500,17.409,51.900,0.200
80,09-12-202202:25:57,66.000,58.000,1980.000,9701.998,249.264,71.000,14.466,14626.000,67.800,16.762,51.900,0.200
80,09-12-202202:25:58,66.000,58.000,1980.000,9701.998,256.130,75.000,14.250,14625.000,68.000,17.787,51.900,0.200
80,09-12-202202:25:59,66.000,55.000,1980.000,9701.998,240.776,73.000,13.918,14651.000,66.900,24.102,51.900,0.200
80,09-12-202202:26:00,66.000,60.000,1980.000,9701.998,265.016,74.000,13.876,14640.000,68.500,16.219,51.900,0.200
80,09-12-202202:26:01,66.000,59.000,1980.000,9701.998,258.579,74.000,14.252,14633.000,67.500,18.476,51.900,0.200
80,09-12-202202:26:02,66.000,60.000,1980.000,9701.998,262.497,74.000,15.392,14627.000,68.500,15.837,51.900,0.200
80,09-12-202202:26:03,66.000,58.000,1980.000,9701.998,260.923,76.000,13.799,14626.000,69.200,15.846,51.900,0.200
80,09-12-202202:26:04,66.000,59.000,1980.000,9701.998,262.773,75.000,13.883,14622.000,68.800,17.242,51.900,0.200
80,09-12-202202:26:05,66.000,59.000,1980.000,9701.998,261.586,76.000,15.815,14627.000,68.100,17.732,51.900,0.200
80,09-12-202202:26:06,66.000,58.000,1980.000,9701.998,262.170,73.000,14.440,14631.000,67.700,17.993,51.900,0.200
80,09-12-202202:26:07,66.000,58.000,1980.000,9701.998,265.672,74.000,14.336,14623.000,68.100,15.999,51.900,0.200
80,09-12-202202:26:08,66.000,59.000,1980.000,9701.998,255.095,74.000,14.105,14628.000,67.200,17.697,51.900,0.200
80,09-12-202202:26:09,66.000,58.000,1980.000,9701.998,259.266,75.000,15.224,14629.000,66.200,17.641,51.900,0.200
80,09-12-202202:26:10,66.000,58.000,1980.000,9701.998,261.766,72.000,14.484,14624.000,67.300,17.657,51.900,0.200
80,09-12-202202:26:11,66.000,60.000,1980.000,9701.998,259.147,75.000,14.378,14627.000,67.800,17.377,51.900,0.200
80,09-12-202202:26:12,66.000,57.000,1980.000,9701.998,255.261,80.000,15.283,14641.000,66.400,19.224,51.900,0.200
80,09-12-202202:26:13,66.000,57.000,1980.000,9701.998,255.516,72.000,15.645,14637.000,66.500,19.311,51.900,0.200
80,09-12-202202:26:14,66.000,58.000,1980.000,9701.998,257.681,73.000,14.513,14637.000,67.000,19.846,51.900,0.200
80,09-12-202202:26:15,66.000,59.000,1980.000,9701.998,257.601,75.000,15.726,14636.000,67.000,18.004,51.900,0.200
80,09-12-202202:26:16,66.000,58.000,1980.000,9701.998,255.029,72.000,13.901,14637.000,66.500,17.710,51.900,0.200
80,09-12-202202:26:17,66.000,59.000,1980.000,9701.998,252.175,73.000,14.627,14642.000,67.300,17.907,51.900,0.200
80,09-12-202202:26:18,66.000,59.000,1980.000,9701.998,249.458,75.000,16.501,14648.000,66.900,17.312,52.000,0.200
